content,publish_time,like_num,forward_num,comment_num
:而且我真的很质疑在这片土地上生活的男性有什么爱的能力，我觉得要么巨婴，要么爱无能。很少会有例外，例外这么容易发生，也不叫例外了。我觉得我经历了很多，成长了很多，我自我完善了很多，我的女性意识全面爆发我才终于能够筛选一点正常人出来。我以前的筛选功能是非常有问题的，因为我很缺爱，我很迷失，我不知道如何好好爱我自己，这到底我也不知道什么样的爱是健康的，而不是占有欲、孤独、寂寞、不甘心、虚荣等等的混合体，我心智不够成熟，我分辨不了。同样我觉得我身边的女朋友们也分辨不了。我们在不停地吃屎，不停地妥协，不停地讲述，不停地美化，不停地重蹈覆辙。我很少看到，有人拥有爱的能力，因为人是高度社会化动物，行为来自于模仿，几千年都没有样本，我们从何模仿，又从何获得呢？,2023-06-07 13:04,386,66,15
:我有一个习惯，我永远不相信女朋友嘴里的那个男人是个她嘴里那么好的人。我本能的就是会拒绝她描述的所有好评。我总是很警惕这些男人们。因为我很了解自己，以前自我意识还没有这么完善的时候，我也很喜欢和朋友讲述自己的男友，自己的前男友。回忆都是美好的滤镜，在我的讲述里他是个只有些许瑕疵的人，近乎完美的人。我不停地和微微说，他多么优秀，多么善良，多么好。其实我回头看，他是个非常普通的人，男人的魅力真的都取决于女人的想象力，我会放大他的行为举止，我会进行浪漫化的联想，我会给他添补那些细节漏洞。因为我自己这样，所以我很容易轻松嗅出朋友的美化行为。微微当初和那个糟糕的男生在一起，我一直在反对，她不停地和我说对方的好，实际上我压根不看这个男人，我只看微微的状态就知道了。她变得敏感，自卑，焦躁，情绪化。我无需听这个男人是怎么样的人就知道他是什么样的人。而且过去的我，很不喜欢别人说我选的男人糟糕，因为我还没有意识到，自我和自我选择的男人是分开的，不是一体的。当别人质疑我的眼光，我会觉得自己的自尊心受损，与其说维护这个男人的形象，不如说，我在维护自己的审美和眼光。我在维护自己罢了。再说回我为什么不信任女朋友嘴里的男人。因为我身边的朋友们，她们不爱自己，不自信，不接纳自己，自我意识也不那么强烈，不那么自我。她们仍在成长，处于探索重建的阶段，一个人无法意识到自己的价值，自我的独特，自我的宝贵，是很容易美化他人的细节，而看不到自己是这段关系的核心。而且她们大部分道德感都很高，哪怕只是一件自私的行为，她们都会觉得自己是不够好，不称职，过于自私的恋人。所以很容易看到自己的缺点，然后更加赞美对方的优点。最后回归到男人身上，我不觉得一个男人生长于这个社会，会有什么值得她“称赞的闪光点”，除非他是个离群者，他是个强烈厌恶者，他是个正准备蓄力脱离这个文化的人。一个人都没有和恶分手的勇气，我也不知道他可以怎么全然欣赏到你的魅力，感谢你的存在以及提供健康的关系。,2023-06-07 12:56,229,59,8
而且我觉得看一个人的勇气，不是看她追求了什么，而是看她放弃了什么。  ,2023-07-26 17:16,218,57,4
:哈哈，在家笑得想死，让教授老公在课堂上说：已婚。我真的无法理解，教授和学生本来就充满了权力差，而且人家交学费不是为了听你说你的婚育状态的。上位者及其家属不要把恋爱脑带进教室，这是对专业性的最低要求。比如你教的是微积分，我选这门课也是为了学微积分。结果我被教授告知已婚，老婆让我说的。我只有4个字：退我学费！,2023-03-13 11:54,673,56,21
我很想知道，什么样的特征会让你觉得这个人是有人格魅力的。在我眼里，就是高度的自我接纳➕自信➕诚实地面对世界的真相➕真心关爱她人。总体来说，我觉得自己很有人格魅力。  ,2023-06-18 20:46,348,52,23
:在这边我经常毫不经意的就看到别人的奶，别人的激凸，别人白色衣服透出来的乳晕。太常见了，也经常看到年长女性的衣服轮廓下垂的奶。无论是你是什么奶，饱满的，干瘪的，力挺的，下垂的，无论你的乳晕是粉色的还是深色的，没人在意。我有时候在公园还看到推婴儿车的妈妈，湿了那两点，我猜是溢奶了。总之，太随意，太常见，导致奶太不值得一提，所以我这个东亚女才毫无压力毫不害怕的bra free，不再需要我勇敢，不再需要我怒视，就这样如此轻松。,2023-07-23 11:43,982,48,19
:不被妈妈爱的我很痛苦，后面我找到了解决办法，就是切断，我不再期待，不再从她那里索取爱，我把她当陌生女人，不再把她当妈妈，也不会给她那么重要的位置和权力来伤害我。我以前很心碎的是，妈妈，你可是我的妈妈，你如何说得出口这么伤害我的话，你如何说得出口涂指甲的我就是婊 、子。自从不再期待以后，我好了很多很多，因为她说什么都不重要了，她不再是我成年后选择的家人，我的家人只有银河、妹妹。但是这个方法走到今天也失去了原有的强大效力，因为我周围的每个美国妈妈都在提醒我，被鼓励被爱被肯定是多么重要的生活一环。我为我的缺失而痛哭。,2023-01-04 14:47,224,48,16
如果要列举在东亚家庭长大失去的东西，有太多可以写了：•  失去对自我的感知。•  失去安全感。•  失去信任。•  失去快乐和积极性。•  失去本应该充满爱、令人尊敬的父母。•  失去童年。•  失去天真。•  失去爱  ,2023-06-11 18:33,314,46,11
:我是那种特别应激的人，就是我成长过程中接受了太多指责，导致我接受不了任何人说我，因为我的人生充满了对抗，就是一部和所有人的对抗史，我也有丰富的战斗经历，就是你惹我，我可能可以坚持输出3天都不松嘴。所以和各路前任基本上都是吵得你死我活，虽然我在生活里占下风，但我的嘴是真的不饶人的。每次这样，其实我非常累，非常消耗。但是我和老公就相处得很来，因为他永远不指责我，就不会触发我的应激防御机制，他永远表达的是，我这样做，他会很伤心，可不可以对他好一点，如果我不愿意改变，他也愿意提高自己的忍受能力，让我做自己。当一个人把态度搞成这样，说话也说成这样。对我来说，我就会羞愧地道歉，说对不起，我没注意到，我真的好差劲。然后他又会说，没关系，你很好啊，我们每个人都会变成自己的父辈母辈的时刻，大家都在尽力抵抗，你正在做这件勇敢的事，我可以陪你一起对抗。然后接着夸我，心理安抚我很久。有时候我觉得自己是个姗姗学步的小孩，正在摆脱过去的有毒体系，一步步走向正常的世界。,2023-02-26 17:48,334,44,15
:好无语这样的老中思维，你说自己觉得很痛苦，觉得作为个体的感受很痛苦。永远都有人让你向下看：非洲小孩没饭吃，没书读，某些宗教让遮脸戴头巾。我真的搞不明白了，人活着不就是为了追求更大的幸福和自由的吗？就知道从落后且无知的case寻求安慰，人活着还有什么奔头啊？作为东亚女的痛苦，是明晃晃的事实，直视它，承认它，就让人这么难受？非要各种找补。我简直觉得奇怪。承认落后和痛苦，才有切断和改变的可能啊。假装不痛和劝自己看开，能从根源上解决问题吗？直视它，不会死，谢谢。,2023-04-20 16:16,295,42,12
:这些年我从未敬佩过任何一个人，但是我敬佩微微，因为我觉得她是我见过最强的女性。我不知道她怎么做到初一就可以找到暑假工的，真的，她年纪那么小，不过她初一就挺高的了，就一米六多。她去佛山的咖啡店做服务员。后面的暑假她又去服装城的服装店做销售，那个老板一直色眯眯说，你要是跟我，我一个月给你一万块钱。当然她是拒绝的，但是她就一直利用男人对她的欲望，在那里打暑假工，因为不会被辞退。后面她发现店里所有的销售都被老板包养过。她卖过电话卡，一间一间宿舍去推销，在街上发过传单，你能想到的不需要门槛的销售，她什么都干过。毕业后，普通学历的她干起了销售，那个时候美，团刚刚面世，她去做商家推广，意思就是和店铺说，你们店里支持美，团五折这种活动。因为那个时候长沙没有几家餐馆是有美，团专属优惠的。她后面发现长沙赚不到什么钱，就去了深圳，她住在离深圳南山通勤要2小时的500块钱的农民房里。每天去面试，后面终于又找到了一份销售的工作，她也通过疯狂加班卖命，疯狂搞定甲方，成为了整个公司华南地区的top sales，她拿了业绩第一，公司奖励她出国旅游，那是她第一次出国。总之，这个女人，从初一开始就无人依靠（小学还有她奶奶干农活卖菜养鸡卖鸡蛋供她，后面初一奶奶太老了就没有收入），除了找梅梅每次被骂“你就当我死了，我没你这个讨债鬼女儿”以外，就没有得到什么支持。她也拒绝我们任何人对她的帮助。她就是这么神奇地存活了下来，她不仅活下来，她还存到了钱，她出国的学费路费任何费用都是她这些年加班卖命换来的。如果我是她，我早就死了。我觉得任何人一个是她，都不会有她今天这样的生活。而且她村里同龄的伙伴，这些年，要么拉着她整容，要么找她借钱，要么拉她卖因，要么劝她结婚。只有她，什么都不加入，硬是靠自己，活到了美国。这就是一个奇迹，写出来就是一些文字，自己体验的话，每一秒都是无比漫长的。,2023-07-13 17:22,585,41,30
:我看到主页上的诸位好友都在谈恋爱，但是大家都在劝她们，别上头，别失去自我，别轻易。我就在想，感情最吸引人的点就在于可以上头，可以幻想，可以沉浸式快乐，可以一直讲述他的故事，你们的故事啊。到了后面稳定期，你想上头都难，就要造作，就要做到极致啊，现在。不要害怕失去自我，因为你的自我永远都在，永远不会被男人带走。因为能失去自我的人，压根就意识不到自己会失去自我。你之所以警惕就是害怕成为这样的人，可是这类人永远不会有你这份警惕啊。放心沉溺吧，你总会有上岸换气的那一天的[客厅狂欢],2023-05-08 18:47,315,39,7
而且我现在发现，人要有自己的气场，然后会发现很容易找到属于自己气场的配件，一切都像浑然天成，好像天生你就这样。  ,2023-05-04 17:46,222,37,10
我一直坚信一点，如果你让别人随便欺负你，你的气场就会变得很低迷，什么牛鬼蛇神都要上来踩你一脚。你要是硬气一点，很多脏东西压根不敢围绕你的气场，因为都知道吃不了兜着走。任何事都是这样，不要做那个软柿子，不要做那个“算了”的人。大度是要对值得大度的人，不要无原则大度  ,2023-01-25 14:08,232,36,9
:女生的瓜，传来传去就是那几种。第一种，她做小三。第二种，她做easy girl，公交车。第三种，她玩转几个备胎给自己写作业，国内还有个老实男友等着接盘结婚。在我眼里，吃瓜的人眼里无非就是想来一场荡妇羞辱罢了，显得自己多么道德，多么纯贞，多么有底线。无论说不说出口，都是为了满足自己内心阴暗的需求，然后感叹一句“贵圈真乱啊”服了。干你屁事。,2023-04-03 14:17,327,33,15
:父母不敢承认自己就是想操控，寄生，伪装自己是全天下对你最好的人，最关心你的人，老师不敢承认自己就是想体验手中的微小权力碾压未成年的心理满足感，伪装自己是社会的园丁，社会不敢承认自己就是把你们当🔋，把你们归类为不可回收垃圾，伪装自己是服务机构，狙击女性的女人不敢承认自己就是想毁掉她人的快乐，她人漂亮的容颜身材，伪装自己是为了全体女性发明一个个驴和服美役。虚伪至极，从上到下，从小到大，全是扭曲和肮脏。,2023-01-03 10:05,157,32,0
